DateTime,Text,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount
2023-01-11 12:00:11+00:00,@zephkeanterl @cocamcolaaotv the robredo' and kiko until now 7mo after #halalan2022 https://t.co/uenod6coqg,en,['Halalan2022'],1,0,1,0
2023-01-03 05:56:50+00:00,"icymi: sinc @bongbongmarco wa elect presid in #halalan2022, inconsist in the statement of top govern offici have prevail and continu to confus the public. #vfyearender2022 https://t.co/dtbpptqnyo",en,"['halalan2022', 'VFYearender2022']",5,43,122,3
2023-01-03 02:30:13+00:00,"icymi: video were the weapon of choic for disinform creator in the #halalan2022. over a third, or 82 out of 218 content fact-check by vera files, came in thi format. forty-f of these were publish in tiktok. #vfyearender2022 https://t.co/agk9mdrs8i",en,"['halalan2022', 'VFYearender2022']",1,27,51,2
2023-01-01 08:02:21+00:00,"@richeydarian an ideal public servant indeed. i admir how @iampinglacson conduct hi campaign thi #halalan2022; such is a summari of hi true polit advocacy. he may not be the one, but still, someday in my lifetime, i’m dream to see a person like him lead our belov motherland.",en,['Halalan2022'],0,3,5,1
2022-12-26 12:53:12+00:00,not @tvpatrol recap the #halalan2022 without warning. i have ptsd!!!!!!!!!!!! https://t.co/dsvypyeira,en,['HALALAN2022'],0,0,0,0
2022-12-24 00:00:05+00:00,time to sign this. may the truth be revealed. #halalan2022 #tntrio #transmissionlog https://t.co/manolibe5z,en,"['Halalan2022', 'TNTrio', 'TransmissionLogs']",0,2,6,0
2022-12-23 09:04:44+00:00,💗💚🇵🇭 we were cheated. #presid #pangulo #president #lenirobredo #bisepresident #kikopangilinan #kulayrosasangbuka #titindigparin #halalan2022 #eleksyon2022 #bilangpilipino #phvote 🗳,en,"['President', 'Pangulo', 'Presidente', 'LeniRobredo', 'BisePresidente', 'KikoPangilinan', 'KulayRosasAngBukas', 'TitindigPaRin', 'Halalan2022', 'Eleksyon2022', 'BilangPilipino', 'PHVote']",0,0,3,0
2022-12-21 04:37:24+00:00,@timesalgebraind other #new portal have given that #halal meat is not ban but certif for food item can be issu onli by govt bodi like fssai and not by privat organis #halalan2022,en,"['News', 'halal', 'Halalan2022']",0,0,0,0
2022-12-21 00:18:22+00:00,"after bongbong marco wa elect presid in #halalan2022, inconsist in the statement of top govern offici have prevail and continu to confus the public. https://t.co/vn9vojl27h",en,['halalan2022'],30,148,379,9
2022-12-09 03:28:46+00:00,how wa the halalan 2022 for you? it turn out that those in the philippin were most interest in search for inform about the may 2022 elections. | #halalan2022#newsph #new #republicasia read the full articl here: https://t.co/soeprttbg7 https://t.co/13re1depil,en,"['news', 'republicasia']",0,0,0,0
2022-12-07 13:35:00+00:00,#halalan2022 top trend topic on googl in 2022 https://t.co/whdg0mfsvm,en,['Halalan2022'],0,0,0,0
2022-12-07 13:25:00+00:00,#halalan2022 top trend topic on googl in 2022 https://t.co/jaozpnmdf6,en,['Halalan2022'],0,1,14,0
2022-12-07 02:26:19+00:00,5 day to go befor voter registr start again #botoko #bske2022 #halalan2022 #eleksyon2022 #bilangpilipino2022 #phvote #bske2023 #halalan2023 #eleksyon2023 #phvote #bilangpilipino2023,en,"['BotoKo', 'BSKE2022', 'Halalan2022', 'Eleksyon2022', 'BilangPilipino2022', 'PHVote', 'BSKE2023', 'Halalan2023', 'Eleksyon2023', 'PHVote', 'BilangPilipino2023']",0,0,0,0
2022-12-05 06:46:05+00:00,@bamaquino wasn’t a candid in #halalan2022. what’ the “lose senatori bet” remark for?,en,['Halalan2022'],0,0,0,0
2022-11-30 07:07:36+00:00,@philippinestar @shecrisostomo my favourit part of philippin elect is when the elector get fuck up by the politician they vote for. guess who top the senat race in bulacan? hi brother. 😂 #halalan2022 boto pa ng mga oligarch mga mhie. 🤡 https://t.co/gmlf6lbny8 https://t.co/uuq1gmpvpw,en,['Halalan2022'],0,0,2,0
2022-11-29 10:31:42+00:00,"people, kahit kaninong kampo, can't move on from #halalan2022 and i am here for it.",en,['Halalan2022'],0,0,1,0
2022-11-25 03:07:45+00:00,"elect day nation and local elect 2022 comelec may 9, 2022 #halalan2022 #comelec #electionday #baccodelementaryschool #voter #summerwinterchannl https://t.co/riesqoia1v",en,"['Halalan2022', 'COMELEC', 'ElectionDay', 'BaccodElementarySchool', 'Voters', 'SummerWinterChannl']",0,0,0,0
2022-11-15 01:38:53+00:00,"source: https://t.co/tctfdr5evl //to dispel doubts, rio wrote comelec on juli 15 to disclos the transmiss log that telco submit as required.// #tntrio #comelec #halalan2022 https://t.co/huvylgtai4",en,"['TNTrio', 'COMELEC', 'Halalan2022']",1,17,16,1
2022-11-14 10:43:19+00:00,"one of the largest swing from leni robredo to bongbong marco in #eleksyon2022 #halalan2022 were in the provinc of basilan. in sumisip, robredo held a landslid lead of +73 against marco in 2016 which swung to be a +15 lead for marco in 2022. #electiontwitt https://t.co/em6wknkjra",en,"['eleksyon2022', 'halalan2022', 'ElectionTwitter']",2,11,72,2
